time,node_id,rssi
111.961,44,-67.0
112.212,44,-67.0
112.212,42,-85.0
112.462,44,-80.0
112.662,2,
112.712,44,-80.0
112.963,44,-76.0
112.963,48,-92.0
112.963,42,-89.0
113.213,42,-89.0
113.213,48,-92.0
113.213,44,-76.0
113.463,48,-93.0
113.463,44,-68.0
113.714,48,-93.0
113.714,44,-68.0
113.964,48,-93.0
114.214,48,-93.0
114.465,48,-93.0
114.465,44,-78.0
114.695,2,
114.715,48,-93.0
114.715,44,-78.0
114.966,48,-93.0
114.966,44,-78.0
115.216,48,-94.0
115.216,44,-81.0
115.466,44,-81.0
115.466,48,-94.0
115.717,44,-86.0
115.967,44,-86.0
116.217,44,-86.0
116.468,41,-89.0
116.688,2,
116.718,41,-89.0
116.968,48,-91.0
117.219,48,-91.0
117.469,48,-95.0
117.719,48,-95.0
117.97,48,-89.0
118.22,48,-89.0
118.471,48,-88.0
118.691,2,
118.721,48,-88.0
118.971,49,-89.0
118.971,44,-90.0
118.971,48,-96.0
119.222,48,-96.0
119.222,49,-89.0
119.222,44,-90.0
119.472,49,-86.0
120.223,49,-87.0
120.473,49,-87.0
120.664,2,
120.724,49,-86.0
120.724,50,-90.0
120.974,50,-90.0
120.974,49,-86.0
122.226,49,-90.0
122.476,49,-90.0
122.566,2,
122.727,49,-88.0
122.977,49,-88.0
124.229,49,-90.0
124.229,41,-92.0
124.559,2,
125.481,51,-90.0
125.731,51,-90.0
126.562,2,
126.983,51,-88.0
127.233,51,-88.0
127.484,51,-87.0
127.734,51,-87.0
127.984,51,-88.0
128.235,51,-88.0
128.565,2,
130.568,2,
131.74,52,-90.0
131.74,53,-86.0
131.99,52,-90.0
131.99,53,-86.0
132.571,2,
133.242,53,-78.0
133.492,53,-78.0
133.743,53,-78.0
133.993,53,-84.0
134.243,53,-84.0
134.494,53,-78.0
134.494,54,-82.0
134.554,2,
134.744,54,-82.0
134.744,53,-78.0
134.994,54,-86.0
134.994,53,-72.0
135.245,54,-86.0
135.245,53,-72.0
135.495,54,-86.0
135.495,53,-72.0
135.745,53,-79.0
135.996,53,-79.0
136.246,53,-78.0
136.246,54,-89.0
136.496,53,-78.0
136.496,54,-89.0
136.747,54,-91.0
136.747,53,-78.0
136.777,2,
136.997,54,-91.0
136.997,53,-78.0
